timestamp_iso,screen,filename,width,height,note
2026-07-13T21:24:10,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260713-212410.png,800,480,run-20260713-212357
2026-07-13T21:24:11,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260713-212411.png,800,480,run-20260713-212357
2026-07-13T21:24:13,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260713-212413.png,800,480,run-20260713-212357
2026-07-13T21:25:11,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260713-212511.png,800,480,run-20260713-212509
2026-07-13T21:25:13,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260713-212513.png,800,480,run-20260713-212509
2026-07-13T21:25:14,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260713-212514.png,800,480,run-20260713-212509
2026-07-13T21:25:16,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260713-212516.png,800,480,run-20260713-212509
2026-07-13T21:25:18,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260713-212518.png,800,480,run-20260713-212509
2026-07-13T21:25:20,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260713-212520.png,800,480,run-20260713-212509
2026-07-13T21:40:49,time_v31,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_v31_20260713-214049.png,800,480,
2026-07-13T21:41:15,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260713-214115.png,800,480,run-20260713-214113
2026-07-13T21:41:17,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260713-214117.png,800,480,run-20260713-214113
2026-07-13T21:41:18,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260713-214118.png,800,480,run-20260713-214113
2026-07-13T21:41:20,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260713-214120.png,800,480,run-20260713-214113
2026-07-13T21:41:22,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260713-214122.png,800,480,run-20260713-214113
2026-07-13T21:41:24,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260713-214124.png,800,480,run-20260713-214113
2026-07-13T21:52:16,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260713-215216.png,800,480,run-20260713-215206
2026-07-13T21:52:18,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260713-215218.png,800,480,run-20260713-215206
2026-07-13T21:52:19,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260713-215219.png,800,480,run-20260713-215206
2026-07-13T21:52:21,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260713-215221.png,800,480,run-20260713-215206
2026-07-13T21:52:23,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260713-215223.png,800,480,run-20260713-215206
2026-07-13T21:52:25,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260713-215225.png,800,480,run-20260713-215206
2026-07-13T21:57:34,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260713-215734.png,800,480,run-20260713-215723
2026-07-13T21:57:35,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260713-215735.png,800,480,run-20260713-215723
2026-07-13T21:57:37,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260713-215737.png,800,480,run-20260713-215723
2026-07-13T21:57:39,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260713-215739.png,800,480,run-20260713-215723
2026-07-13T21:57:41,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260713-215741.png,800,480,run-20260713-215723
2026-07-13T21:57:43,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260713-215743.png,800,480,run-20260713-215723
2026-07-13T23:12:20,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260713-231220.png,800,480,run-20260713-231201
2026-07-13T23:12:22,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260713-231222.png,800,480,run-20260713-231201
2026-07-13T23:12:24,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260713-231224.png,800,480,run-20260713-231201
2026-07-13T23:12:26,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260713-231226.png,800,480,run-20260713-231201
2026-07-13T23:12:28,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260713-231228.png,800,480,run-20260713-231201
2026-07-13T23:12:29,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260713-231229.png,800,480,run-20260713-231201
2026-07-13T23:15:36,grid_recheck,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_recheck_20260713-231536.png,800,480,
2026-07-13T23:21:48,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260713-232148.png,800,480,run-20260713-232142
2026-07-13T23:21:50,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260713-232150.png,800,480,run-20260713-232142
2026-07-13T23:21:52,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260713-232152.png,800,480,run-20260713-232142
2026-07-13T23:21:54,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260713-232154.png,800,480,run-20260713-232142
2026-07-13T23:21:56,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260713-232156.png,800,480,run-20260713-232142
2026-07-13T23:21:57,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260713-232157.png,800,480,run-20260713-232142
2026-07-13T23:22:55,grid_final,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_final_20260713-232255.png,800,480,
2026-07-13T23:33:59,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260713-233359.png,800,480,run-20260713-233357
2026-07-13T23:34:01,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260713-233401.png,800,480,run-20260713-233357
2026-07-13T23:34:02,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260713-233402.png,800,480,run-20260713-233357
2026-07-13T23:34:04,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260713-233404.png,800,480,run-20260713-233357
2026-07-13T23:34:06,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260713-233406.png,800,480,run-20260713-233357
2026-07-13T23:34:08,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260713-233408.png,800,480,run-20260713-233357
2026-07-13T23:40:48,home_v37,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_v37_20260713-234048.png,800,480,
2026-07-13T23:41:57,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260713-234157.png,800,480,run-20260713-234156
2026-07-13T23:41:59,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260713-234159.png,800,480,run-20260713-234156
2026-07-13T23:42:01,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260713-234201.png,800,480,run-20260713-234156
2026-07-13T23:42:03,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260713-234203.png,800,480,run-20260713-234156
2026-07-13T23:42:05,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260713-234205.png,800,480,run-20260713-234156
2026-07-13T23:42:06,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260713-234206.png,800,480,run-20260713-234156
2026-07-14T08:01:37,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260714-080137.png,800,480,run-20260714-080135
2026-07-14T08:01:39,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260714-080139.png,800,480,run-20260714-080135
2026-07-14T08:01:41,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260714-080141.png,800,480,run-20260714-080135
2026-07-14T08:01:43,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260714-080143.png,800,480,run-20260714-080135
2026-07-14T08:01:45,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260714-080145.png,800,480,run-20260714-080135
2026-07-14T08:01:47,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260714-080147.png,800,480,run-20260714-080135
2026-07-14T08:08:29,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260714-080829.png,800,480,run-20260714-080810
2026-07-14T08:08:31,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260714-080831.png,800,480,run-20260714-080810
2026-07-14T08:08:32,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260714-080832.png,800,480,run-20260714-080810
2026-07-14T08:08:34,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260714-080834.png,800,480,run-20260714-080810
2026-07-14T08:08:36,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260714-080836.png,800,480,run-20260714-080810
2026-07-14T08:08:38,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260714-080838.png,800,480,run-20260714-080810
2026-07-14T08:19:41,simtap_verify,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\simtap_verify_20260714-081941.png,800,480,
2026-07-14T08:26:22,simtap_verify2,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\simtap_verify2_20260714-082622.png,800,480,
2026-07-14T08:38:37,simtap_final,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\simtap_final_20260714-083837.png,800,480,
2026-07-14T08:39:11,simtap_singleconn,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\simtap_singleconn_20260714-083911.png,800,480,
2026-07-14T08:39:27,home,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\home_20260714-083927.png,800,480,run-20260714-083925
2026-07-14T08:39:29,time,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\time_20260714-083929.png,800,480,run-20260714-083925
2026-07-14T08:39:31,connection,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\connection_20260714-083931.png,800,480,run-20260714-083925
2026-07-14T08:39:32,battery,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_20260714-083932.png,800,480,run-20260714-083925
2026-07-14T08:39:34,grid,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_20260714-083934.png,800,480,run-20260714-083925
2026-07-14T08:39:36,almanac,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\almanac_20260714-083936.png,800,480,run-20260714-083925
2026-07-14T09:12:07,grid_soc_check,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_soc_check_20260714-091207.png,800,480,
2026-07-14T09:12:32,battery_soc_check,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_soc_check_20260714-091232.png,800,480,
2026-07-14T09:12:49,grid_soc_recheck,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_soc_recheck_20260714-091249.png,800,480,
2026-07-14T09:21:49,grid_blended_check,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_blended_check_20260714-092149.png,800,480,
2026-07-14T09:22:07,grid_blended_check2,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\grid_blended_check2_20260714-092207.png,800,480,
2026-07-14T09:22:25,battery_blended_check,C:\temp_review\Giga_YH_Controller_LVGL_1.0.9\Giga_YH_Dashboard_Unit2\tools\captures\battery_blended_check_20260714-092225.png,800,480,
